Date,Open,High,Low,Close,Adj Close,Volume
2017-04-11,23.023333,23.110001,22.836666,23.000000,20.824800,2105100
2017-04-12,22.966667,22.969999,22.809999,22.893333,20.728222,2057400
2017-04-13,22.860001,22.896667,22.639999,22.703333,20.556190,2350200
2017-04-17,22.743334,23.033333,22.696667,23.026667,20.848948,1792200
2017-04-18,22.936666,23.080000,22.809999,23.033333,20.854979,3125100
2017-04-19,23.139999,23.213333,23.023333,23.056667,20.876110,1465800
2017-04-20,23.193333,23.403334,23.043333,23.373333,21.162830,2055000
2017-04-21,23.323334,23.433332,23.219999,23.303333,21.099445,2500800
2017-04-24,23.610001,23.663334,23.370001,23.483334,21.262424,3351600
2017-04-25,23.626667,23.656668,23.480000,23.510000,21.286566,2281500
2017-04-26,23.406668,23.513332,22.976667,23.180000,20.987778,5620500
2017-04-27,23.139999,23.173332,22.760000,22.889999,20.725206,4683600
2017-04-28,22.883333,23.006666,22.786667,22.956667,20.785566,3080400
2017-05-01,23.080000,23.080000,22.809999,22.813334,20.655787,1880100
2017-05-02,22.816668,22.879999,22.673332,22.786667,20.631647,1711500
2017-05-03,22.780001,22.843332,22.426666,22.603333,20.465647,3640500
2017-05-04,22.700001,22.700001,22.433332,22.653334,20.510918,2550000
2017-05-05,22.653334,22.690001,22.510000,22.636667,20.495834,1737300
2017-05-08,22.633333,22.676666,22.246668,22.343332,20.230240,2948400
2017-05-09,22.393333,22.466667,22.243334,22.250000,20.145737,3559200
2017-05-10,22.219999,22.273333,21.993334,22.250000,20.145737,2952300
2017-05-11,22.250000,22.443333,22.093332,22.400000,20.281542,4079700
2017-05-12,22.336666,22.576668,22.323334,22.516666,20.387177,3203100
2017-05-15,22.480000,22.690001,22.480000,22.590000,20.453575,2518800
2017-05-16,22.583332,22.613333,22.416668,22.456667,20.332853,2300400
2017-05-17,22.256666,22.406668,22.206667,22.243334,20.139692,2482200
2017-05-18,22.246668,22.309999,21.993334,22.246668,20.142714,4235700
2017-05-19,22.263332,22.503332,22.203333,22.480000,20.353979,2812500
2017-05-22,22.566668,22.663334,22.456667,22.636667,20.495834,2055900
2017-05-23,22.656668,22.713333,22.559999,22.643333,20.501869,1282500
2017-05-24,22.719999,22.773333,22.553333,22.556667,20.423397,1627500
2017-05-25,22.556667,22.776667,22.540001,22.730000,20.580334,1234200
2017-05-26,22.716667,22.766666,22.513332,22.526667,20.396235,1684800
2017-05-30,22.493334,22.570000,22.400000,22.473333,20.347940,1856700
2017-05-31,22.559999,22.686666,22.430000,22.549999,20.417356,3444900
2017-06-01,22.683332,22.709999,22.459999,22.623333,20.483755,2098200
2017-06-02,22.673332,22.673332,22.456667,22.500000,20.372086,1565400
2017-06-05,22.503332,22.826668,22.503332,22.623333,20.483755,1815300
2017-06-06,22.573334,22.773333,22.500000,22.753332,20.601461,1890000
2017-06-07,22.846666,23.216667,22.783333,23.200001,21.005882,2572500
2017-06-08,23.203333,23.496668,23.203333,23.403334,21.189989,2931000
2017-06-09,23.603333,23.603333,23.426666,23.513332,21.289581,3362100
2017-06-12,23.486668,23.626667,23.436666,23.466667,21.247335,3060300
2017-06-13,23.493334,23.976667,23.493334,23.830000,21.576307,2797800
2017-06-14,23.680000,23.806667,23.620001,23.683332,21.558098,4316400
2017-06-15,23.623333,23.683332,23.516666,23.650000,21.527760,3888900
2017-06-16,23.513332,23.730000,23.513332,23.719999,21.591475,3927900
2017-06-19,23.803333,23.816668,23.656668,23.713333,21.585405,2583300
2017-06-20,23.650000,23.680000,23.389999,23.423332,21.321434,2626500
2017-06-21,23.466667,23.476667,23.190001,23.253332,21.166685,1884900
2017-06-22,23.253332,23.290001,23.150000,23.176666,21.096895,1256700
2017-06-23,23.223333,23.320000,23.193333,23.286667,21.197027,2694000
2017-06-26,23.309999,23.459999,23.270000,23.433332,21.330532,2456400
2017-06-27,23.456667,23.656668,23.433332,23.559999,21.445829,1747500
2017-06-28,23.646667,23.946667,23.596666,23.876667,21.734081,2075400
2017-06-29,24.000000,24.046667,23.750000,23.846666,21.706774,2292900
2017-06-30,23.860001,23.986668,23.826668,23.830000,21.691605,1980600
2017-07-03,23.836666,24.093332,23.830000,23.883333,21.740152,1419900
2017-07-05,23.896667,24.046667,23.846666,23.893333,21.749254,2781900
